id genecolor
PrileiEVm000612t1 #56A0CE
PrileiEVm000613t1 #228B22
PrileiEVm000614t1 #93C5FB
PrileiEVm000615t1 #DDCDCC
PrileiEVm000616t1 #DDCDCC
PrileiEVm000617t1 #021AE0
PrileiEVm000618t1 #FFAE7D
PrileiEVm000619t1 #021AE0
PrileiEVm000620t1 #DDCDCC
PrileiEVm000621t1 #F3C9DE
PrileiEVm000622t1 #93C5FB
PrileiEVm000623t1 #004370
PrileiEVm000624t1 #9D9D9D
PrileiEVm000625t1 #D26666
PrileiEVm000626t1 #DDCDCC
PrileiEVm000627t1 #002E4E
PrileiEVm000628t1 #FFE7A3
PrileiEVm000629t1 #EE5C42
PrileiEVm000630t1 #9D9D9D
PrileiEVm000631t1 #585858
PrileiEVm000632t1 #FF2F80
PrileiEVm000633t1 #FFE7A3
PrileiEVm000634t1 #E066FF
PrileiEVm000635t1 #EC7014
PrileiEVm000636t1 #FA9E42
PrileiEVm000637t1 #021AE0
PrileiEVm000638t1 #D26666
PrileiEVm000639t1 #FFE7A3
PrileiEVm000640t1 #8B8B00
PrileiEVm000641t1 #56A0CE
PrileiEVm000642t1 #EE5C42
PrileiEVm000643t1 #FFE7A3
PrileiEVm000644t1 #FA9E42
PrileiEVm000645t1 #6D4C2B
PrileiEVm000646t1 #D26666
PrileiEVm000647t1 #ECE44C
PrileiEVm000648t1 #82B3A9
PrileiEVm000649t1 #D26666
PrileiEVm000650t1 #ECE44C
PrileiEVm000651t1 #FFCC33
PrileiEVm000652t1 #BCEE68
PrileiEVm000653t1 #D26666
PrileiEVm000654t1 #E066FF
PrileiEVm000655t1 #FA9E42
PrileiEVm000656t1 #074722
PrileiEVm000657t1 #D26666
PrileiEVm000658t1 #FFAE7D
PrileiEVm000659t1 #EC7014
PrileiEVm000660t1 #8B8B00
PrileiEVm000661t1 #EE5C42
PrileiEVm000662t1 #228B22
PrileiEVm000663t1 #002E4E
PrileiEVm000664t1 #78A4D0
PrileiEVm000665t1 #004370
PrileiEVm000666t1 #EE5C42
PrileiEVm000667t1 #021AE0
PrileiEVm000668t1 #FF8BC9
PrileiEVm000670t1 #FEC960
PrileiEVm000671t1 #FF8BC9
PrileiEVm000672t1 #B3A982
PrileiEVm000673t1 #F3C9DE
PrileiEVm000674t1 #FF8BC9
PrileiEVm000675t1 #ECE44C
PrileiEVm000676t1 #DDCDCC
PrileiEVm000677t1 #FFE7A3
PrileiEVm000678t1 #FFE7A3
PrileiEVm000679t1 #1E90FF
PrileiEVm000681t1 #FF8BC9
PrileiEVm000682t1 #CF9356
PrileiEVm000683t1 #B22222
PrileiEVm000684t1 #93C5FB
PrileiEVm000685t1 #EC7014
PrileiEVm000686t1 #FFBE96
PrileiEVm000687t1 #FFAE7D
PrileiEVm000688t1 #D26666
PrileiEVm000689t1 #FA9E42
PrileiEVm000690t1 #4565B2
PrileiEVm000691t1 #228B22
PrileiEVm000692t1 #DDCDCC
PrileiEVm000693t1 #EE5C42
PrileiEVm000694t1 #CF9356
PrileiEVm000695t1 #FFE7A3
PrileiEVm000696t1 #A2B63C
PrileiEVm000697t1 #82B3A9
PrileiEVm000698t1 #82B3A9
PrileiEVm000699t1 #FFAE7D
